"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"234","Ideaforge Technology Ltd","IDEAFORGE","P&F | F.A","-2.58%","460.15","1,95,205"
"340","Laxmi Dental Ltd","LAXMIDENTL","P&F | F.A","-2.58%","334.5","82,171"
"797","Oricon Enterprises Limited","ORICONENT","P&F | F.A","-2.58%","52.83","2,16,922"
"453","Godawari Power And Ispat Limited","GPIL","P&F | F.A","-2.59%","232.27","19,03,385"
"489","Laxmi Organic Industries Ltd","LXCHEM","P&F | F.A","-2.59%","206.16","5,72,426"
"189","Arvind Fashions Ltd","ARVINDFASN","P&F | F.A","-2.6%","512.35","1,41,063"
"255","Dynamic Cables Ltd","DYCL","P&F | F.A","-2.6%","426.95","1,72,074"
"380","Kamat Hotels (i) Limited","KAMATHOTEL","P&F | F.A","-2.6%","292.96","1,29,553"
"174","EMS Ltd","EMSLIMITED","P&F | F.A","-2.61%","532","1,70,223"
"332","Mahindra Lifespace Developers Limited","MAHLIFE","P&F | F.A","-2.61%","344.6","4,13,533"
"256","L T Foods Ltd","LTFOODS","P&F | F.A","-2.62%","426.1","8,84,376"
"804","Equitas Small Finance Bank Ltd","EQUITASBNK","P&F | F.A","-2.62%","50.87","62,75,849"
"673","SBFC Finance Ltd","SBFC","P&F | F.A","-2.65%","105.25","12,08,588"
"184","Anant Raj Limited","ANANTRAJ","P&F | F.A","-2.66%","517.6","8,18,615"
"512","Capri Global Capital Limited","CGCL","P&F | F.A","-2.66%","185.69","17,36,678"
"550","Ircon International Ltd","IRCON","P&F | F.A","-2.66%","161.13","15,84,379"
"622","Electronics Mart India Ltd","EMIL","P&F | F.A","-2.66%","124.52","4,18,627"
"262","Afcons Infrastructure Ltd","AFCONS","P&F | F.A","-2.69%","422.1","27,99,889"
"526","Ashoka Buildcon Limited","ASHOKA","P&F | F.A","-2.7%","173.67","8,11,039"
"541","Sequent Scientific Limited","SEQUENT","P&F | F.A","-2.71%","169.2","2,65,406"
"203","Aditya Vision Ltd","AVL","P&F | F.A","-2.72%","496.75","1,28,504"
"310","GRM Overseas Ltd","GRMOVER","P&F | F.A","-2.75%","366","3,72,689"
"193","West Coast Paper Mills Limited","WSTCSTPAPR","P&F | F.A","-2.78%","505.65","1,46,274"
"170","Elecon Engineering Company Limited","ELECON","P&F | F.A","-2.8%","540","2,70,327"
